topic,label,top_terms
0,Climate Transition & Fossil-Fuel Exposure,"thermal_coal, transition_zero, covid, power_utility, cybersecurity, datum_privacy, middle_east, covid_outbreak, dollar, cash_flow, nomination_corporate, mainland_china, secretary_chief, global_function, covid_pandemic"
1,Sector Emissions – Heavy Industry & Aviation,"intensity, adaptation, supplementary_information, global_head, gcro, effectiveness_review, steel, aviation, africa_middle, residential_mortgage, east, aluminium, mobilise, thermal_coal, client_segment"
2,Just Transition & Affordable Housing,"inclusive_future, sustainable_future, transition_zero, retrofit, aviation, social_housing, affordable_housing, automotive, thermal_coal, food, farm, electric, decarbonise, economic_crime, farmer"
3,Targets & Vulnerable Customers,"metric_target, important_information, purpose_lead, rbsg, covid, adversely_affect, ethnic_minority, brexit, funding_financing, cash_flow, vulnerable_situation, cybersecurity, united_kingdom, percentage_point, cost_live"
4,Nature & Community Investment,"protect_nature, development_inclusive, building_transition, prosperous_future, responsible_investing, affordable_housing, community_organisation, ordinary_dividend, senior_independent, divisional, refer_detail, share_buyback, location_base, effectiveness_review, food"
5,"Skills, Apprenticeships & Social Mobility","commit_focus, enterprise_learn, principle_responsible, covid, rbwm, appendix, supplement_additional, apprenticeship, victim, digital_skill, black_minority, green_bond, race_action, farm, prosper_plan"
6,"Diversity, Equity & Inclusion","nuclear, prosper_plan, digital_skill, senior_role, disadvantage, tackle_social, lloydsbankinggroup_responsible, convention, save_future, independent_charitable, hold_woman, start_grow, borrowing, bame_colleague, championing_diversity"
7,Clean Technology & Citizenship,"sustainability_summary, nance, headcount, tonne_coeq, covid, defi, profi, girl, africa, specifi, citizenship, benefi, statutory_basis, fundraising, clean_technology"
8,Residual Reporting/Assurance Language,"total_number, workday, breakthrough, scope_method, holdco, beneficiary, accident, supplier_invoice, headcount, tcoe, limited_assurance, supplement_supplement, datum_extract, performance_scorecard, assurance_opinion"
9,Residual Financial/Legal Language,"mortgage_portfolio, consumer_duty, adverse_effect, ring_fencing, exist_emerge, review_effectiveness, covid_pandemic, legal_function, cybersecurity, condition_prospect, hedge_accounting, cash_flow, benchmark_reform, legal_competition, elevated"
